PLOT_YR,PLOT,YEAR,TRT,BURN17,ACHNATH,ACMI,AGGR,AGHE,AGIN,ALAC,ALAL,ANFL,ANLU,ARABIS,ARAC,ARCO,ARRI,ARSO,ASTERACEAE,BASA,BLSC,BRCA,BRJA,BRTE,CAEU,CAGE,CARU,CATE,CELE,CLPE,CLPU,COLLOMIA,COPA,CREPIS,CROC,CRYPTANTHA,CYFR,DAUN,DECA,DEDA,DELPHINIUM,DODECATHEON,DRVE,ELEL,EPBR,ERHE,ERIGERON,ERIOGONUM,ERNA,FEID,FRAGARIA,GAAP,GAYOPHYTUM,GETR,GUSA,HIERACIUM,HOUM,JUNCUS,JUOC,LELI,LILIACEAE,LIMI,LIRU,LITHOPHRAGMA,LOLE,LOMATIUM,LONU,LUPINUS,MAGR,MAMI,MARE,MENTZELIA,MIGR,MYST,NAVARRETIA,NEPA,NOTR,OLDO,ORUN,OSBE,PENSTEMON,PHCH,PHLOX,PIPO,POACEAE,POBU,PODO,POGL,POPO,POPR,POSE,PSME,PSSP,PUTR,RIBES,ROSA,RUAC,SAXIFRAGACEAE,SCUTELLARIA,SEST,SIOR,SOCA,SYAL,SYMPHORYCARPUS,THALICTRUM,THIN,TRCY,TRDU,TRMA,UNKFORB,VEDU,VUMI,ZIGADENUS
16UB_11,UB11,16,UB,unburned,10,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,5,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,5,0,0,0,2.5,0,0,0,0,0,0,0,0,0
16UB_12,UB12,16,UB,>50,12.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,13.75,16.25,0,0,0,0,0,0,0,2.5,5,0,0,7.5,0,0,0,5,0,0,2.5,2.5,7.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2.5,0,0
16UB_13,UB13,16,UB,unburned,2.5,0,2.5,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2.5,0,12.5,0,0
16UB_14,UB14,16,UB,<50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.25,10,0,5,0,0,0,0,0,0,7.5,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,1.25,0,0
16UB_15,UB15,16,UB,<50,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,27.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,5,0,0,0,2.5,0,0,0,0,0,0,0,0,0
16UB_16,UB16,16,UB,>50,0,0,2.5,2.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,0,5,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2.5,17.5,0,7.5,0,0,5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,30,0,0
16UB_17,UB17,16,UB,>50,10,2.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,8.75,0,0,5,0,12.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0
16UB_18,UB18,16,UB,>50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,22.5,0,2.5,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,7.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,7.5,0,7.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1.25,0,0
16UB_19,UB19,16,UB,unburned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,17.5,0,5,0,0,5,0,0,2.5,7.5,0,0,2.5,0,0,0,5,0,0,2.5,0,7.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,5,0,0,0,0,0,0,13.75,0,0
16UB_20,UB20,16,UB,>50,2.5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,7.5,0,0,2.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,31.25,0,0
